FUNCTION    N_ARGS  TYPE_ARGS
*           INF     NUMERIC
+           INF     NUMERIC
/           2       NUEMRIC
<           2       NUMERIC
<=          2       NUMERIC
>           2       NUMERIC
>=          2       NUMERIC
=           2       ANY
AND         INF     BOOL
NOT         1       BOOL
OR          INF     BOOL
XOR         INF     BOOL
APPEND      2       CONS
ASSOC       2       VAL,ASSOC LIST
ATOMP       1       ANY
COMMA       1       ANY
COND        2       COND LIST, DEFAULT
CONS        2       ANY
CONSP       1       ANY
BQUOTE      1       CONS
CAR         1       CONS
CDR         1       CONS
DEFINE      INF     [CONS,CONS], [ID, ANY]
DEFMACRO    2       CONS CONS
EQ          2       ANY ANY
EVAL        1       ANY
EVLIS       1       CONS
IF          3       COND T NIL
LABELS      2       ASSOC LIST, BODY
LET         2       ASSOC LIST, BODY
LIST        INF     ANY
MAP         2       ID, CONS         
PAIR        2       CONS, CONS
MEMBERP     2       ANY CONS
ORD         1       ANY
POP         1       ID
PUSH        2       VAL, ID
PROG1       1       CONS
PROG2       1       CONS
PROGN       1       CONS
BQUOTE      1       ANY    
SUBST       3       VAR,RPL,BODY
TYPEOF      1       ANY
